电影名,评价,label,短评,上映年份,评分,评价人数,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长
肖申克的救赎,力荐,1.0,"《肖申克的救赎》中安迪的扮演者蒂姆·罗宾斯说：“这部电影传达的是长久赛，而不是即时的满足。很多人感觉被困在了自己的生活中，因为一个糟糕的工作，或者相处不愉快的伴侣，或者其他随便一个什么原因。从隐喻层面上看，电影向这些人诉说了一个理念，就是对于所有人来说，总有一处理想之地在等着你，终有一刻，你会达到那里。”
",1994,9.7,2860035,弗兰克·德拉邦特,弗兰克·德拉邦特 / 斯蒂芬·金,蒂姆·罗宾斯 / 摩根·弗里曼 / 鲍勃·冈顿 / 威廉姆·赛德勒 / 克兰西·布朗 / 吉尔·贝罗斯 / 马克·罗斯顿 / 詹姆斯·惠特摩 / 杰弗里·德曼 / 拉里·布兰登伯格 / 尼尔·吉恩托利 / 布赖恩·利比 / 大卫·普罗瓦尔 / 约瑟夫·劳格诺 / 祖德·塞克利拉 / 保罗·麦克兰尼 / 芮妮·布莱恩 / 阿方索·弗里曼 / V·J·福斯特 / 弗兰克·梅德拉诺 / 马克·迈尔斯 / 尼尔·萨默斯 / 耐德·巴拉米 / 布赖恩·戴拉特 / 唐·麦克马纳斯,剧情 / 犯罪,美国,英语,1994-09-10(多伦多电影节) / 1994-10-14(美国),142分钟
肖申克的救赎,力荐,1.0,你知道，有些鸟儿是注定不会被关在牢笼里的。,1994,9.7,2860035,弗兰克·德拉邦特,弗兰克·德拉邦特 / 斯蒂芬·金,蒂姆·罗宾斯 / 摩根·弗里曼 / 鲍勃·冈顿 / 威廉姆·赛德勒 / 克兰西·布朗 / 吉尔·贝罗斯 / 马克·罗斯顿 / 詹姆斯·惠特摩 / 杰弗里·德曼 / 拉里·布兰登伯格 / 尼尔·吉恩托利 / 布赖恩·利比 / 大卫·普罗瓦尔 / 约瑟夫·劳格诺 / 祖德·塞克利拉 / 保罗·麦克兰尼 / 芮妮·布莱恩 / 阿方索·弗里曼 / V·J·福斯特 / 弗兰克·梅德拉诺 / 马克·迈尔斯 / 尼尔·萨默斯 / 耐德·巴拉米 / 布赖恩·戴拉特 / 唐·麦克马纳斯,剧情 / 犯罪,美国,英语,1994-09-10(多伦多电影节) / 1994-10-14(美国),142分钟
肖申克的救赎,力荐,1.0,印象很深的一部电影，虽然很绝望，但永远不要放弃希望。,1994,9.7,2860035,弗兰克·德拉邦特,弗兰克·德拉邦特 / 斯蒂芬·金,蒂姆·罗宾斯 / 摩根·弗里曼 / 鲍勃·冈顿 / 威廉姆·赛德勒 / 克兰西·布朗 / 吉尔·贝罗斯 / 马克·罗斯顿 / 詹姆斯·惠特摩 / 杰弗里·德曼 / 拉里·布兰登伯格 / 尼尔·吉恩托利 / 布赖恩·利比 / 大卫·普罗瓦尔 / 约瑟夫·劳格诺 / 祖德·塞克利拉 / 保罗·麦克兰尼 / 芮妮·布莱恩 / 阿方索·弗里曼 / V·J·福斯特 / 弗兰克·梅德拉诺 / 马克·迈尔斯 / 尼尔·萨默斯 / 耐德·巴拉米 / 布赖恩·戴拉特 / 唐·麦克马纳斯,剧情 / 犯罪,美国,英语,1994-09-10(多伦多电影节) / 1994-10-14(美国),142分钟
肖申克的救赎,力荐,1.0,这部电影好到，含义深刻到我不敢妄自评价……总之，力荐!,1994,9.7,2860035,弗兰克·德拉邦特,弗兰克·德拉邦特 / 斯蒂芬·金,蒂姆·罗宾斯 / 摩根·弗里曼 / 鲍勃·冈顿 / 威廉姆·赛德勒 / 克兰西·布朗 / 吉尔·贝罗斯 / 马克·罗斯顿 / 詹姆斯·惠特摩 / 杰弗里·德曼 / 拉里·布兰登伯格 / 尼尔·吉恩托利 / 布赖恩·利比 / 大卫·普罗瓦尔 / 约瑟夫·劳格诺 / 祖德·塞克利拉 / 保罗·麦克兰尼 / 芮妮·布莱恩 / 阿方索·弗里曼 / V·J·福斯特 / 弗兰克·梅德拉诺 / 马克·迈尔斯 / 尼尔·萨默斯 / 耐德·巴拉米 / 布赖恩·戴拉特 / 唐·麦克马纳斯,剧情 / 犯罪,美国,英语,1994-09-10(多伦多电影节) / 1994-10-14(美国),142分钟
肖申克的救赎,力荐,1.0,縱使《基督山伯爵》與《刺激一九九五》之間，場景與敘事手法的差異可謂不小，《刺激一九九五》卻比很多直接改編自《基督山伯爵》的影劇作品，更能體現《基督山伯爵》的精髓。全文：http://hou26.org/zeta/cristo.htm,1994,9.7,2860035,弗兰克·德拉邦特,弗兰克·德拉邦特 / 斯蒂芬·金,蒂姆·罗宾斯 / 摩根·弗里曼 / 鲍勃·冈顿 / 威廉姆·赛德勒 / 克兰西·布朗 / 吉尔·贝罗斯 / 马克·罗斯顿 / 詹姆斯·惠特摩 / 杰弗里·德曼 / 拉里·布兰登伯格 / 尼尔·吉恩托利 / 布赖恩·利比 / 大卫·普罗瓦尔 / 约瑟夫·劳格诺 / 祖德·塞克利拉 / 保罗·麦克兰尼 / 芮妮·布莱恩 / 阿方索·弗里曼 / V·J·福斯特 / 弗兰克·梅德拉诺 / 马克·迈尔斯 / 尼尔·萨默斯 / 耐德·巴拉米 / 布赖恩·戴拉特 / 唐·麦克马纳斯,剧情 / 犯罪,美国,英语,1994-09-10(多伦多电影节) / 1994-10-14(美国),142分钟
肖申克的救赎,力荐,1.0,值得看2遍以上的电影 没看过一定要看,1994,9.7,2860035,弗兰克·德拉邦特,弗兰克·德拉邦特 / 斯蒂芬·金,蒂姆·罗宾斯 / 摩根·弗里曼 / 鲍勃·冈顿 / 威廉姆·赛德勒 / 克兰西·布朗 / 吉尔·贝罗斯 / 马克·罗斯顿 / 詹姆斯·惠特摩 / 杰弗里·德曼 / 拉里·布兰登伯格 / 尼尔·吉恩托利 / 布赖恩·利比 / 大卫·普罗瓦尔 / 约瑟夫·劳格诺 / 祖德·塞克利拉 / 保罗·麦克兰尼 / 芮妮·布莱恩 / 阿方索·弗里曼 / V·J·福斯特 / 弗兰克·梅德拉诺 / 马克·迈尔斯 / 尼尔·萨默斯 / 耐德·巴拉米 / 布赖恩·戴拉特 / 唐·麦克马纳斯,剧情 / 犯罪,美国,英语,1994-09-10(多伦多电影节) / 1994-10-14(美国),142分钟
肖申克的救赎,力荐,1.0,"    很多人，可能都有被自己设置的牢笼所禁锢着的时候！没有光明，没有明天，没有希望！可能你会因此沉沦，但也可能会突破它，战胜它，最终赢得自我的升华！这部电影告诉我们的似乎就是如此！

    每一次的观赏，每一次的感动，都能带给我满满的希望！",1994,9.7,2860035,弗兰克·德拉邦特,弗兰克·德拉邦特 / 斯蒂芬·金,蒂姆·罗宾斯 / 摩根·弗里曼 / 鲍勃·冈顿 / 威廉姆·赛德勒 / 克兰西·布朗 / 吉尔·贝罗斯 / 马克·罗斯顿 / 詹姆斯·惠特摩 / 杰弗里·德曼 / 拉里·布兰登伯格 / 尼尔·吉恩托利 / 布赖恩·利比 / 大卫·普罗瓦尔 / 约瑟夫·劳格诺 / 祖德·塞克利拉 / 保罗·麦克兰尼 / 芮妮·布莱恩 / 阿方索·弗里曼 / V·J·福斯特 / 弗兰克·梅德拉诺 / 马克·迈尔斯 / 尼尔·萨默斯 / 耐德·巴拉米 / 布赖恩·戴拉特 / 唐·麦克马纳斯,剧情 / 犯罪,美国,英语,1994-09-10(多伦多电影节) / 1994-10-14(美国),142分钟
肖申克的救赎,力荐,1.0,“记住，希望是好事——甚至也许是人间至善。而美好的事永不消失。”,1994,9.7,2860035,弗兰克·德拉邦特,弗兰克·德拉邦特 / 斯蒂芬·金,蒂姆·罗宾斯 / 摩根·弗里曼 / 鲍勃·冈顿 / 威廉姆·赛德勒 / 克兰西·布朗 / 吉尔·贝罗斯 / 马克·罗斯顿 / 詹姆斯·惠特摩 / 杰弗里·德曼 / 拉里·布兰登伯格 / 尼尔·吉恩托利 / 布赖恩·利比 / 大卫·普罗瓦尔 / 约瑟夫·劳格诺 / 祖德·塞克利拉 / 保罗·麦克兰尼 / 芮妮·布莱恩 / 阿方索·弗里曼 / V·J·福斯特 / 弗兰克·梅德拉诺 / 马克·迈尔斯 / 尼尔·萨默斯 / 耐德·巴拉米 / 布赖恩·戴拉特 / 唐·麦克马纳斯,剧情 / 犯罪,美国,英语,1994-09-10(多伦多电影节) / 1994-10-14(美国),142分钟
肖申克的救赎,力荐,1.0,确实经典，就是人信念的力量吧，真佩服男主的脑袋,1994,9.7,2860035,弗兰克·德拉邦特,弗兰克·德拉邦特 / 斯蒂芬·金,蒂姆·罗宾斯 / 摩根·弗里曼 / 鲍勃·冈顿 / 威廉姆·赛德勒 / 克兰西·布朗 / 吉尔·贝罗斯 / 马克·罗斯顿 / 詹姆斯·惠特摩 / 杰弗里·德曼 / 拉里·布兰登伯格 / 尼尔·吉恩托利 / 布赖恩·利比 / 大卫·普罗瓦尔 / 约瑟夫·劳格诺 / 祖德·塞克利拉 / 保罗·麦克兰尼 / 芮妮·布莱恩 / 阿方索·弗里曼 / V·J·福斯特 / 弗兰克·梅德拉诺 / 马克·迈尔斯 / 尼尔·萨默斯 / 耐德·巴拉米 / 布赖恩·戴拉特 / 唐·麦克马纳斯,剧情 / 犯罪,美国,英语,1994-09-10(多伦多电影节) / 1994-10-14(美国),142分钟
霸王别姬,力荐,1.0,君王意气尽 贱妾何聊生,1993,9.6,2114651,陈凯歌,芦苇 / 李碧华,张国荣 / 张丰毅 / 巩俐 / 葛优 / 英达 / 蒋雯丽 / 吴大维 / 吕齐 / 雷汉 / 尹治 / 马明威 / 费振翔 / 智一桐 / 李春 / 赵海龙 / 李丹 / 童弟 / 沈慧芬 / 黄斐 / 徐杰,剧情 / 爱情 / 同性,中国大陆 / 中国香港,汉语普通话,1993-07-26(中国大陆) / 1993-01-01(中国香港),171分钟 / 155分钟(美国剧场版)
霸王别姬,力荐,1.0,"蝶衣于台上贵妃醉酒，头顶忽撒下无数抗日传单。灯骤灭，台下喧哗。没有人再顾及台上的贵妃。唯有蝶衣，继续着未尽的绝美舞步丝毫未曾停滞。一片混乱之中，也唯有四爷，独自于楼上包厢继续丝毫未曾分神。看到这里感动的一塌糊涂。结尾处“我本是男儿郎,又不是女娇娥”真的落泪了。纯粹坚持的2人去了",1993,9.6,2114651,陈凯歌,芦苇 / 李碧华,张国荣 / 张丰毅 / 巩俐 / 葛优 / 英达 / 蒋雯丽 / 吴大维 / 吕齐 / 雷汉 / 尹治 / 马明威 / 费振翔 / 智一桐 / 李春 / 赵海龙 / 李丹 / 童弟 / 沈慧芬 / 黄斐 / 徐杰,剧情 / 爱情 / 同性,中国大陆 / 中国香港,汉语普通话,1993-07-26(中国大陆) / 1993-01-01(中国香港),171分钟 / 155分钟(美国剧场版)
霸王别姬,力荐,1.0,你凝视你的脸，几亿人在爱恋。,1993,9.6,2114651,陈凯歌,芦苇 / 李碧华,张国荣 / 张丰毅 / 巩俐 / 葛优 / 英达 / 蒋雯丽 / 吴大维 / 吕齐 / 雷汉 / 尹治 / 马明威 / 费振翔 / 智一桐 / 李春 / 赵海龙 / 李丹 / 童弟 / 沈慧芬 / 黄斐 / 徐杰,剧情 / 爱情 / 同性,中国大陆 / 中国香港,汉语普通话,1993-07-26(中国大陆) / 1993-01-01(中国香港),171分钟 / 155分钟(美国剧场版)
霸王别姬,力荐,1.0,往事不要再提，人生已多风雨。他是霸王，你是虞姬，“我本是男儿郎，又不是女娇娥”，万丈红尘蹉跌走过半世纪。寥落繁华不由己，十万春花如梦里。剑还给你，命也还给你。“君王意气尽，贱妾何聊生？”陪你唱罢这出、我便离去...,1993,9.6,2114651,陈凯歌,芦苇 / 李碧华,张国荣 / 张丰毅 / 巩俐 / 葛优 / 英达 / 蒋雯丽 / 吴大维 / 吕齐 / 雷汉 / 尹治 / 马明威 / 费振翔 / 智一桐 / 李春 / 赵海龙 / 李丹 / 童弟 / 沈慧芬 / 黄斐 / 徐杰,剧情 / 爱情 / 同性,中国大陆 / 中国香港,汉语普通话,1993-07-26(中国大陆) / 1993-01-01(中国香港),171分钟 / 155分钟(美国剧场版)
霸王别姬,力荐,1.0,凱歌也曾NB過，那時風華絕代的張國榮也還那麼年輕……,1993,9.6,2114651,陈凯歌,芦苇 / 李碧华,张国荣 / 张丰毅 / 巩俐 / 葛优 / 英达 / 蒋雯丽 / 吴大维 / 吕齐 / 雷汉 / 尹治 / 马明威 / 费振翔 / 智一桐 / 李春 / 赵海龙 / 李丹 / 童弟 / 沈慧芬 / 黄斐 / 徐杰,剧情 / 爱情 / 同性,中国大陆 / 中国香港,汉语普通话,1993-07-26(中国大陆) / 1993-01-01(中国香港),171分钟 / 155分钟(美国剧场版)
霸王别姬,力荐,1.0,   那些渴求永远的人，悲都悲得分外妖冶。,1993,9.6,2114651,陈凯歌,芦苇 / 李碧华,张国荣 / 张丰毅 / 巩俐 / 葛优 / 英达 / 蒋雯丽 / 吴大维 / 吕齐 / 雷汉 / 尹治 / 马明威 / 费振翔 / 智一桐 / 李春 / 赵海龙 / 李丹 / 童弟 / 沈慧芬 / 黄斐 / 徐杰,剧情 / 爱情 / 同性,中国大陆 / 中国香港,汉语普通话,1993-07-26(中国大陆) / 1993-01-01(中国香港),171分钟 / 155分钟(美国剧场版)
霸王别姬,力荐,1.0,因为这个电影，从此后对有金鱼出现的影片格外地关注。鱼所代表的意义太多了。流泪在水里的鱼，无性别的鱼，离了水呼吸不了的鱼……,1993,9.6,2114651,陈凯歌,芦苇 / 李碧华,张国荣 / 张丰毅 / 巩俐 / 葛优 / 英达 / 蒋雯丽 / 吴大维 / 吕齐 / 雷汉 / 尹治 / 马明威 / 费振翔 / 智一桐 / 李春 / 赵海龙 / 李丹 / 童弟 / 沈慧芬 / 黄斐 / 徐杰,剧情 / 爱情 / 同性,中国大陆 / 中国香港,汉语普通话,1993-07-26(中国大陆) / 1993-01-01(中国香港),171分钟 / 155分钟(美国剧场版)
霸王别姬,力荐,1.0,大家只记得程蝶衣，明明菊仙才是更值得品味的角色啊，到最后，一直保留了善良的人只有她一个。生活太难，为了什么而活的内核决定了每个人的命运，再聪明的人都挨不下去，最后剩下的便都是乌合之众,1993,9.6,2114651,陈凯歌,芦苇 / 李碧华,张国荣 / 张丰毅 / 巩俐 / 葛优 / 英达 / 蒋雯丽 / 吴大维 / 吕齐 / 雷汉 / 尹治 / 马明威 / 费振翔 / 智一桐 / 李春 / 赵海龙 / 李丹 / 童弟 / 沈慧芬 / 黄斐 / 徐杰,剧情 / 爱情 / 同性,中国大陆 / 中国香港,汉语普通话,1993-07-26(中国大陆) / 1993-01-01(中国香港),171分钟 / 155分钟(美国剧场版)
霸王别姬,力荐,1.0,观众与其说是被悲欢离合的故事本身打动，不如说是被故事背后那段国人集体回忆的历史所打动。没有那跌宕起伏的历史背景，衬托不出人性的真实，也构成不了凄美的故事。家国情怀是陈凯歌骨子里的使命感。单纯的儿女情长他做不来。【电博】20081129，第3次。【讲堂】1211，第4次，大陆版，无字幕无主题曲。,1993,9.6,2114651,陈凯歌,芦苇 / 李碧华,张国荣 / 张丰毅 / 巩俐 / 葛优 / 英达 / 蒋雯丽 / 吴大维 / 吕齐 / 雷汉 / 尹治 / 马明威 / 费振翔 / 智一桐 / 李春 / 赵海龙 / 李丹 / 童弟 / 沈慧芬 / 黄斐 / 徐杰,剧情 / 爱情 / 同性,中国大陆 / 中国香港,汉语普通话,1993-07-26(中国大陆) / 1993-01-01(中国香港),171分钟 / 155分钟(美国剧场版)
霸王别姬,力荐,1.0,最好的华语片，最好的张国荣。,1993,9.6,2114651,陈凯歌,芦苇 / 李碧华,张国荣 / 张丰毅 / 巩俐 / 葛优 / 英达 / 蒋雯丽 / 吴大维 / 吕齐 / 雷汉 / 尹治 / 马明威 / 费振翔 / 智一桐 / 李春 / 赵海龙 / 李丹 / 童弟 / 沈慧芬 / 黄斐 / 徐杰,剧情 / 爱情 / 同性,中国大陆 / 中国香港,汉语普通话,1993-07-26(中国大陆) / 1993-01-01(中国香港),171分钟 / 155分钟(美国剧场版)
霸王别姬,力荐,1.0,在程蝶衣说出我也揭发，揭发这良辰美景美景奈何天的时候，我哇哇大哭，这部电影最震撼我的不是不疯魔不成活不是唱一辈子戏，而是时代的悲剧洪流下，我们无所幸免的人生，艺术的信仰者被迫成为了艺术的出卖者，在那个悲剧的时代，他连为艺术殉道的自由都没有。,1993,9.6,2114651,陈凯歌,芦苇 / 李碧华,张国荣 / 张丰毅 / 巩俐 / 葛优 / 英达 / 蒋雯丽 / 吴大维 / 吕齐 / 雷汉 / 尹治 / 马明威 / 费振翔 / 智一桐 / 李春 / 赵海龙 / 李丹 / 童弟 / 沈慧芬 / 黄斐 / 徐杰,剧情 / 爱情 / 同性,中国大陆 / 中国香港,汉语普通话,1993-07-26(中国大陆) / 1993-01-01(中国香港),171分钟 / 155分钟(美国剧场版)
霸王别姬,力荐,1.0,在结尾指向性极强的背景乐中主题昭然若揭——是谁毁了戏，是谁毁了中国精妙绝伦的古典文化。同时很讶异这片子没被封禁。,1993,9.6,2114651,陈凯歌,芦苇 / 李碧华,张国荣 / 张丰毅 / 巩俐 / 葛优 / 英达 / 蒋雯丽 / 吴大维 / 吕齐 / 雷汉 / 尹治 / 马明威 / 费振翔 / 智一桐 / 李春 / 赵海龙 / 李丹 / 童弟 / 沈慧芬 / 黄斐 / 徐杰,剧情 / 爱情 / 同性,中国大陆 / 中国香港,汉语普通话,1993-07-26(中国大陆) / 1993-01-01(中国香港),171分钟 / 155分钟(美国剧场版)
